price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
775,Jurangmangu,0,2200,1,1,0,0,1,Unfurnished,Bagus,48,72,0
1850,Jurangmangu,1,3300,2,4,0,1,5,Furnished,Bagus,220,200,1
3640,BSD Eminent,1,2200,2,3,1,1,3,Furnished,Bagus,102,128,1
3000,BSD Eminent,1,2200,2,2,1,1,3,Unfurnished,Bagus,114,160,1
5000,BSD Eminent,1,2200,2,4,1,1,4,Unfurnished,Bagus,228,200,1
2150,BSD Residence One,0,7700,2,3,1,1,3,Furnished,Bagus,147,108,1
2250,BSD Residence One,0,3500,2,2,1,1,3,Furnished,Bagus,156,136,1
2800,BSD Residence One,1,4400,2,4,0,1,4,Furnished,Bagus,300,160,1
2800,BSD Residence One,1,5500,2,3,0,1,3,Unfurnished,Bagus,320,160,0
2900,BSD Residence One,0,2200,2,4,1,1,3,Furnished,Bagus,250,160,0
4500,BSD Residence One,0,2200,2,2,1,1,3,Unfurnished,Bagus,152,292,1
990,BSD Eminent,1,1300,2,2,0,0,2,Furnished,Bagus,45,40,1
7000,BSD Residence One,0,7700,1,5,1,1,3,Furnished,Bagus,282,231,1
3000,BSD Residence One,1,2200,2,3,0,1,3,Furnished,Bagus,180,144,1
1800,BSD Residence One,0,2200,2,3,0,0,4,Furnished,Bagus,135,90,0
1800,BSD Residence One,1,2200,2,3,0,0,4,Furnished,Bagus,135,90,1
1950,BSD Residence One,1,2200,2,2,1,1,3,Unfurnished,Bagus,135,108,1
2970,BSD Eminent,1,3500,2,2,1,1,3,Furnished,Bagus,114,144,1
4000,BSD Eminent,1,2200,2,3,1,1,3,Furnished,Bagus,160,180,1
3500,BSD Eminent,0,7700,1,4,0,0,4,Unfurnished,Bagus,171,135,0
2500,BSD Eminent,1,2200,2,3,1,1,3,Furnished,Bagus,91,112,1
3300,BSD Residence One,1,4400,2,4,1,1,4,Unfurnished,Bagus,270,207,1
4500,BSD Residence One,1,3500,2,3,1,1,4,Furnished,Bagus,182,200,1
3300,BSD Residence One,1,4400,2,4,0,0,4,Unfurnished,Bagus,270,207,1
3500,BSD Residence One,0,6600,1,6,0,0,4,Furnished,Bagus,300,160,1
3500,BSD Eminent,0,2200,1,1,0,0,1,Unfurnished,Bagus,220,120,0
1750,Gading Serpong Karelia Village,1,2200,2,2,1,1,3,Unfurnished,Bagus,90,77,1
1700,Gading Serpong Karelia Village,1,2200,2,2,1,1,3,Furnished,Bagus,84,72,1
1700,Gading Serpong Karelia Village,1,4400,2,2,1,1,3,Furnished,Bagus,84,72,0
1800,Gading Serpong Karelia Village,1,2200,2,2,0,0,3,Furnished,Bagus,89,72,1
1000,Kelapa Dua,0,2200,1,2,0,0,3,Unfurnished,Bagus,100,120,0
880,Kelapa Dua,0,2200,1,2,0,0,3,Unfurnished,Bagus,180,180,1
2800,Kelapa Dua,0,6600,2,3,1,1,4,Furnished,Bagus,300,195,0
900,Kelapa Dua,1,2200,2,2,0,0,3,Unfurnished,Bagus,170,90,1
2200,Gading Serpong Karelia Village,0,7700,2,3,1,1,3,Furnished,Bagus,105,84,1
2100,Kelapa Dua,1,3500,2,3,0,1,3,Furnished,Bagus,180,135,1
1400,Gading Serpong Karelia Village,1,900,2,2,1,1,3,Furnished,Bagus,77,60,1
2250,Kelapa Dua,1,2200,2,2,1,1,3,Furnished,Bagus,87,119,1
2250,Kelapa Dua,0,2200,2,2,1,1,3,Furnished,Bagus,87,119,1
1000,Kelapa Dua,0,2200,1,2,0,0,3,Unfurnished,Butuh renovasi,100,120,0
3700,Kelapa Dua,0,2200,1,3,0,0,3,Furnished,Bagus,116,144,0
800,Kelapa Dua,0,1300,1,1,0,0,3,Unfurnished,Butuh renovasi,90,109,1
1700,Gading Serpong Karelia Village,0,3300,2,2,1,1,3,Furnished,Bagus,84,72,1
1700,Gading Serpong Karelia Village,1,2200,2,2,0,0,3,Furnished,Bagus,89,72,1
500,Kelapa Dua,0,1300,1,1,0,0,2,Unfurnished,Bagus,50,60,1
5500,Kelapa Dua,0,5500,1,2,0,0,3,Furnished,Bagus,200,324,0
630,Kelapa Dua,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,72,1
1800,Gading Serpong Karelia Village,0,3500,2,2,1,1,3,Furnished,Bagus,84,72,1
1700,Gading Serpong Karelia Village,0,2200,2,2,0,0,3,Furnished,Bagus,89,72,1
4500,Pondok Ranji,0,4400,2,3,1,1,4,Unfurnished,Bagus,274,243,1
3300,Pondok Ranji,1,4400,2,2,1,1,3,Furnished,Bagus,187,134,1
2200,Pondok Ranji,0,3500,2,2,1,1,3,Unfurnished,Bagus,160,135,1
1700,Pondok Ranji,1,2200,3,2,0,0,3,Unfurnished,Bagus,86,60,1
3180,Pondok Ranji,1,3500,1,3,0,1,3,Unfurnished,Bagus,130,162,1
1200,Pondok Ranji,1,2200,1,2,0,0,2,Unfurnished,Bagus,110,130,1
6500,Pondok Ranji,0,8000,2,5,1,1,7,Unfurnished,Bagus,450,460,1
4600,Pondok Ranji,1,3500,1,4,1,1,4,Unfurnished,Bagus,350,440,1
1450,BSD Graha Raya,1,5500,1,4,0,0,4,Furnished,Bagus,120,84,1
2250,BSD Graha Raya,1,2200,2,3,0,1,4,Furnished,Bagus,144,128,1
900,BSD Graha Raya,1,2200,2,3,0,0,3,Unfurnished,Bagus,72,72,1
1600,Pondok Ranji,1,3500,1,3,0,0,5,Unfurnished,Bagus,144,72,1
2200,Pondok Ranji,1,3500,1,2,1,1,3,Unfurnished,Bagus,160,132,1
1500,Pondok Ranji,0,3500,2,2,0,0,3,Unfurnished,Bagus,100,133,1
1700,Pondok Ranji,0,2200,2,2,1,1,3,Unfurnished,Bagus,80,160,1
950,Pondok Ranji,1,1300,1,2,1,1,3,Unfurnished,Bagus,100,112,1
1200,BSD Graha Raya,1,2200,1,2,0,1,2,Furnished,Bagus,53,90,1
1000,BSD Graha Raya,1,1300,1,1,0,0,2,Furnished,Bagus,45,90,0
690,BSD Graha Raya,1,2200,2,2,0,0,3,Unfurnished,Bagus,45,60,1
1350,BSD Graha Raya,0,2200,2,2,0,0,3,Unfurnished,Bagus,70,63,1
4500,Pondok Ranji,1,5500,2,3,1,1,3,Furnished,Bagus,240,120,1
